time_s,V1,V2,V3,V4,Vdot1,Vdot2,Vdot3,Vdot4,omega1,omega2,omega3,omega4,delta1,delta2,delta3,delta4,pV1,pV2,pV3,pV4,qV1,qV2,qV3,qV4,pW1,pW2,pW3,pW4,qW1,qW2,qW3,qW4
14.145,0.999999798153963,0.999999826265376,0.9999998391617,0.999999829721885,3.71939251557591e-06,4.59826143775421e-06,3.43704768300333e-06,4.27151338065467e-06,4.67787699008068e-05,5.31835466404679e-05,2.91330429821548e-05,3.34271385379386e-05,0.00731426272611461,0.00411333920746121,-0.00136956267650383,-0.00564193601409067,-0.00104861110100692,-0.00104601883846439,-0.00104164365069336,-0.00104220335403889,-0.00104861110100692,-0.00104601883846439,-0.00104164365069336,-0.00104220335403889,-0.000517336136862952,-0.000234520992451624,0.000190888119742104,0.000394543387186726,-0.000517336136862952,-0.000234520992451624,0.000190888119742104,0.000394543387186726
14.15,0.999999818299122,0.999999850690064,0.999999857856952,0.999999852614301,4.32149603346969e-06,5.15073330281443e-06,4.02535620136444e-06,4.86603624760136e-06,4.67149123745392e-05,5.31078011557359e-05,2.90811650135686e-05,3.3370421248597e-05,0.00731449646042878,0.00411360493596497,-0.00136941714089671,-0.00564176902009277,-0.00104517627532794,-0.00104162655365404,-0.00103848676215665,-0.00103817855410549,-0.00104517627532794,-0.00104162655365404,-0.00103848676215665,-0.00103817855410549,-0.000517329991110635,-0.000234538334935531,0.000190905267409043,0.000394541821875659,-0.000517329991110635,-0.000234538334935531,0.000190905267409043,0.000394541821875659
14.155,0.99999984118471,0.999999877552504,0.99999987924614,0.999999878175778,4.81316329367755e-06,5.57119312384485e-06,4.51227516195825e-06,5.33678012730985e-06,4.66507947101107e-05,5.30317337101304e-05,2.90290781139397e-05,3.33134679201046e-05,0.00731472987480479,0.00411387028493617,-0.00136927186520191,-0.00564160231027158,-0.0010410686682926,-0.00103659717409903,-0.00103467812430888,-0.00103347929874057,-0.0010410686682926,-0.00103659717409903,-0.00103467812430888,-0.00103347929874057,-0.000517323861070118,-0.000234555651166336,0.000190922400267854,0.000394540262254128,-0.000517323861070118,-0.000234555651166336,0.000190922400267854,0.000394540262254128
14.16,0.999999866224925,0.99999990616296,0.9999999027893,0.99999990575474,5.18143510046046e-06,5.84835291236779e-06,4.88504669697299e-06,5.67122091579445e-06,4.65864173522288e-05,5.29553448397556e-05,2.89767826162411e-05,3.32562789219697e-05,0.00731496296794306,0.00411413525276636,-0.00136912685046324,-0.00564143588580635,-0.00103639352072888,-0.00103105967489551,-0.001030313619041,-0.00102822510804817,-0.00103639352072888,-0.00103105967489551,-0.001030313619041,-0.00102822510804817,-0.00051731774673282,-0.000234572941094789,0.000190939518160166,0.000394538708235008,-0.00051731774673282,-0.000234572941094789,0.000190939518160166,0.000394538708235008
14.165,0.999999892776776,0.999999935784229,0.99999992788968,0.999999934645469,5.41644730272828e-06,5.97455797905576e-06,5.13376508045917e-06,5.86027357788107e-06,4.65217807525291e-05,5.28786350852214e-05,2.89242788530008e-05,3.31988546214422e-05,0.00731519573854624,0.00411439983784976,-0.00136898209772285,-0.00564126974787453,-0.00103127094376296,-0.00102515656007394,-0.00102550361197956,-0.00102255016527921,-0.00103127094376296,-0.00102515656007394,-0.00102550361197956,-0.00102255016527921,-0.000517311648010973,-0.000234590204638777,0.000190956620899529,0.000394537159672361,-0.000517311648010973,-0.000234590204638777,0.000190956620899529,0.000394537159672361
14.17,0.999999920156259,0.999999965650377,0.999999953908694,0.999999964105949,5.5116942703915e-06,5.94599731421805e-06,5.25163920804592e-06,5.89853804226352e-06,4.64568853691993e-05,5.28016049914971e-05,2.88715671564554e-05,3.31411953837522e-05,0.00731542818531927,0.00411466403858331,-0.00136883760802126,-0.0056411038976517,-0.00102583291504003,-0.00101904025822049,-0.00102037020316034,-0.0010165999403174,-0.00102583291504003,-0.00101904025822049,-0.00102037020316034,-0.0010165999403174,-0.000517305564742307,-0.000234607441685066,0.000190973708273414,0.000394535616364414,-0.000517305564742307,-0.000234607441685066,0.000190973708273414,0.000394535616364414
14.175,0.999999947655628,0.999999994986281,0.999999980181989,0.999999993376715,5.46420778918971e-06,5.76281615301509e-06,5.23517693786829e-06,5.78445175843481e-06,4.63917316664802e-05,5.27242551077141e-05,2.88186478587457e-05,3.30833015724401e-05,0.0073156603069694,0.00411492785336669,-0.00136869338239729,-0.00564093833631165,-0.00102021996082477,-0.00101286924946547,-0.00101504416927957,-0.00101052751113637,-0.00102021996082477,-0.00101286924946547,-0.00101504416927957,-0.00101052751113637,-0.000517299496696671,-0.00023462465209184,0.000190990780045883,0.000394534078057991,-0.000517299496696671,-0.00023462465209184,0.000190990780045883,0.000394534078057991
14.18,0.999999974561348,1.00000002302748,1.00000000603623,1.00000002170022,5.27464649833914e-06,5.42912745157542e-06,5.08428633157861e-06,5.52034464996557e-06,4.63263201140562e-05,5.26465859869202e-05,2.87655212921507e-05,3.30251735497727e-05,0.00731589210220619,0.00411519128060233,-0.00136854942188812,-0.00564077306502633,-0.00101457760650654,-0.00100680402125964,-0.00100966167326469,-0.00100448967527,-0.00101457760650654,-0.00100680402125964,-0.00100966167326469,-0.00100448967527,-0.000517293443584403,-0.000234641835691981,0.000191007835960883,0.000394532544454255,-0.000517293443584403,-0.000234641835691981,0.000191007835960883,0.000394532544454255
14.185,1.00000000017225,1.00000004903983,1.00000003080616,1.00000004834022,4.94729317560184e-06,4.95292163220564e-06,4.80229082332476e-06,5.1123946589686e-06,4.62606511863489e-05,5.25685981857925e-05,2.87121877893531e-05,3.29668116772302e-05,0.00731612356974158,0.00411545431869543,-0.00136840572752926,-0.0056406080849659,-0.00100905269003656,-0.00100100296163641,-0.00100436082845582,-0.00099864295537274,-0.00100905269003656,-0.00100100296163641,-0.00100436082845582,-0.00099864295537274,-0.000517287405066256,-0.000234658992297034,0.000191024875746057,0.000394531015215636,-0.000517287405066256,-0.000234658992297034,0.000191024875746057,0.000394531015215636
14.19,1.00000002381746,1.00000007233844,1.00000005385156,1.00000007260071,4.48995974033927e-06,4.34587639801236e-06,4.39585781526089e-06,4.57048466105815e-06,4.61947253617338e-05,5.24902922643184e-05,2.86586476837318e-05,3.29082163160592e-05,0.00731635470828989,0.00411571696605399,-0.00136826230035457,-0.00564044339729871,-0.00100378961936141,-0.000995618281235154,-0.000999278192669304,-0.000993139587279124,-0.00100378961936141,-0.000995618281235154,-0.000999278192669304,-0.000993139587279124,-0.000517281380764624,-0.000234676121701689,0.000191041899117022,0.000394529489973795,-0.000517281380764624,-0.000234676121701689,0.000191041899117022,0.000394529489973795
14.195,1.00000004487363,1.00000009230549,1.0000000745736,1.00000009384388,3.91380184004633e-06,3.62307129170993e-06,3.87484192491449e-06,3.90796400330162e-06,4.61285431216973e-05,5.24116687854464e-05,2.86049013096704e-05,3.28493878278701e-05,0.00731658551656784,0.00411597922108881,-0.00136811914139621,-0.00564027900319129,-0.00099892668547526,-0.000990792087354945,-0.000994545296248511,-0.000988123611011974,-0.00099892668547526,-0.000990792087354945,-0.000994545296248511,-0.000988123611011974,-0.00051727537027579,-0.000234693223688765,0.000191058905781937,0.000394527968338383,-0.00051727537027579,-0.000234693223688765,0.000191058905781937,0.000394527968338383
14.2,1.000000062781,1.00000010840626,1.0000000924302,1.00000011150666,3.23304751484466e-06,2.8026137893009e-06,3.25204671498013e-06,3.14132038186661e-06,4.60621049499569e-05,5.23327283147219e-05,2.85509490028761e-05,3.27903265752689e-05,0.00731681599329456,0.00411624108221352,-0.00136797625168469,-0.00564011490380837,-0.00099459251300605,-0.00098665269751513,-0.000990285280888062,-0.00098372715182824,-0.00099459251300605,-0.00098665269751513,-0.000990285280888062,-0.00098372715182824,-0.000517269373182885,-0.000234710298034487,0.000191075895446313,0.000394526449906393,-0.000517269373182885,-0.000234710298034487,0.000191075895446313,0.000394526449906393
14.205,1.0000000770579,1.00000012020323,1.00000010695004,1.00000012511544,2.46464657050441e-06,1.90518634717959e-06,2.54291067486863e-06,2.28977021201422e-06,4.59954113315661e-05,5.22534714199123e-05,2.84967911007014e-05,3.27310329225043e-05,0.00731704613719159,0.00411650254784458,-0.00136783363224884,-0.00563995110031287,-0.000990902743957656,-0.000983311293301019,-0.000986609739510227,-0.00098006699230034,-0.000990902743957656,-0.000983311293301019,-0.000986609739510227,-0.00098006699230034,-0.00051726338906923,-0.000234727344513971,0.000191092867817902,0.000394524934271887,-0.00051726338906923,-0.000234727344513971,0.000191092867817902,0.000394524934271887
