time_s,manifest_id,sigma_V_DG1,sigma_V_DG2,sigma_V_DG3,sigma_omega_DG1,sigma_omega_DG2,sigma_omega_DG3,zeta_V_DG1,zeta_V_DG2,zeta_V_DG3,zeta_omega_DG1,zeta_omega_DG2,zeta_omega_DG3,boundary_margin,local_comparison,comparison_envelope
0.37,9e81ce3e9621f78a,-0.517411283133181,0.487262094183949,-0.288144898528561,0.0252992077437869,0.0356071439862597,-0.00496745540784815,-0.572798142839121,0.532463689086538,-0.296542008831254,0.0253046074028034,0.0356222038387563,-0.00496749626678921,0.10008453889473,0.747095848547523,1.88988569348179
0.375,9e81ce3e9621f78a,-0.52394881514541,0.492293658125087,-0.291833185531967,0.0245728643750425,0.0362131482555979,-0.00524148079556085,-0.581767385081252,0.539083184969313,-0.300568941522376,0.0245778120764083,0.0362289906017096,-0.00524152879629734,0.0995215528575675,0.765312632702464,1.91393473787293
0.38,9e81ce3e9621f78a,-0.530128951106696,0.496984475662494,-0.29534697275493,0.0238686264266788,0.036796575711173,-0.00550427621240392,-0.590324499800727,0.545293490474701,-0.304414174574823,0.0238731607190047,0.0368131965897351,-0.00550433180120379,0.0989960620563496,0.782869378837018,1.9379717607475
0.385,9e81ce3e9621f78a,-0.535941839170613,0.501326921431101,-0.298682583491331,0.0231859746502572,0.0373579007344281,-0.00575610749433945,-0.598444578440667,0.551076941230359,-0.308072521230641,0.0231901308358243,0.0373752943557675,-0.00575617106753853,0.0985089243177494,0.799635635492512,1.96199676811476
0.39,9e81ce3e9621f78a,-0.541377630223348,0.505313476957526,-0.301836414527829,0.0225244013462896,0.0378975888934521,-0.00599723340619137,-0.606102356481729,0.556416085327873,-0.311538867373487,0.0225282117478616,0.0379157477273658,-0.00599730530819156,0.0980609858257332,0.815474258184244,1.98600976598097
0.395,9e81ce3e9621f78a,-0.546426489668382,0.508936742041537,-0.304804937534582,0.0218834101025267,0.0384160970806309,-0.0062279058191022,-0.613272352836574,0.561293791498793,-0.314808181913751,0.0218869043089178,0.0384350119462162,-0.00622798634117787,0.097653079694961,0.830242739160589,2.01001076034937
0.4,9e81ce3e9621f78a,-0.551078611506394,0.512189447458046,-0.30758470064971,0.021262515539812,0.0389138736478784,-0.00644836988413211,-0.619929027592841,0.565693363176646,-0.317875527639609,0.0212657206318457,0.0389335338045718,-0.00644845926393729,0.0972860243377444,0.843794870696496,2.03399975722021
0.405,9e81ce3e9621f78a,-0.555324234767202,0.515064468948451,-0.310172330257047,0.0206612430656646,0.0393913585391649,-0.00665886420214608,-0.626046957420539,0.569598657182132,-0.320736072477978,0.0206641838240395,0.0394117517784099,-0.00665896262382613,0.0969606216223222,0.855982742545183,2.05797676259073
0.41,9e81ce3e9621f78a,-0.559153662322823,0.51755484245197,-0.312564532955599,0.0200791286357612,0.0398489834200482,-0.00685962099012962,-0.631601027393045,0.572994205537954,-0.323385101102727,0.0200818277322234,0.0398700961570739,-0.00685972858495093,0.0966776548230932,0.866659059690315,2.0819417824552
0.415,9e81ce3e9621f78a,-0.56255728207894,0.51965378050842,-0.314758097718146,0.0195157185234852,0.0402871718039172,-0.00705086624406686,-0.63656663735486,0.575865338704894,-0.325818026821214,0.0195181966966047,0.0403089891691671,-0.00705098309148709,0.0964378863666879,0.875679749896295,2.10589482280486
0.42,9e81ce3e9621f78a,-0.565525590506261,0.521354689744394,-0.316749898235159,0.0189705690977096,0.0407063391746577,-0.00723281989850737,-0.640919920323808,0.578198308342347,-0.328030403664074,0.0189728453144586,0.0407288451044574,-0.00723294602761713,0.0962420553813383,0.88290681243483,2.12983588962798
0.425,9e81ce3e9621f78a,-0.568049218434092,0.52265118933509,-0.318536895439162,0.0184432466089662,0.0411068931054626,-0.00740569598293979,-0.644637969766079,0.579980407544811,-0.330017938597618,0.0184453382132077,0.041130070431563,-0.00740583137421393,0.0960908750608441,0.888211340750672,2.15376498890982
0.43,9e81ce3e9621f78a,-0.570118958986728,0.52353713031491,-0.320116140203315,0.0179333269841373,0.0414892333735197,-0.00756970277508087,-0.647699071960132,0.581200086400847,-0.331776503772995,0.017935249833048,0.0415130639111974,-0.00756984736238441,0.095985029858468,0.891476633959637,2.17768212663267
0.435,9e81ce3e9621f78a,-0.571725797499665,0.524006615591545,-0.321484776206946,0.0174403956297785,0.0418537520703365,-0.00772504295117843,-0.650082939104452,0.581847060671616,-0.333302148721974,0.0174421642191544,0.0418782167047703,-0.00772519662397836,0.095925172530217,0.892601296385044,2.20158730877579
0.44,9e81ce3e9621f78a,-0.572860943208679,0.52405402050153,-0.32264004295937,0.0169640472441517,0.0422008337074888,-0.00787191373341621,-0.651770938360844,0.581912411399582,-0.334591112405428,0.0169656748234696,0.0422259124781692,-0.00787207633915584,0.0959119210510645,0.891502212359768,2.22548054131549
0.445,9e81ce3e9621f78a,-0.573515862461387,0.523674013730261,-0.323579278972267,0.0165038856380021,0.0425308553176133,-0.00801050703449707,-0.65274631169532,0.581388673339017,-0.335639835017965,0.0165053843160482,0.0425565275005759,-0.00801067838109457,0.0959458554316152,0.888117276718335,2.24936183022508
0.45,9e81ce3e9621f78a,-0.573682313159875,0.522861578407157,-0.324299925069605,0.01605952356407,0.0428441865505147,-0.00814100959946945,-0.652994381215212,0.580269910250532,-0.336444969450334,0.0160609044058796,0.0428704307382167,-0.00814118945790698,0.0960275144663638,0.882407761020531,2.27323118147488
0.455,9e81ce3e9621f78a,-0.57335238010546,0.521612033177031,-0.324799527823052,0.0156305825552695,0.0431411897642987,-0.00826360314485012,-0.652502734730249,0.578551775320585,-0.337003392310735,0.0156318556710703,0.0431679839429888,-0.00826379125182387,0.0961573924479129,0.874360202429795,2.29708860103222
0.46,9e81ce3e9621f78a,-0.572518510884416,0.519921053042656,-0.325075743099618,0.0152166927714084,0.0434222201115065,-0.00837846449508468,-0.651261386504007,0.576231555249083,-0.337312214406558,0.0152178673982036,0.0434495417359616,-0.00837866055568984,0.0963359358841525,0.863987716610276,2.32093409486147
0.465,9e81ce3e9621f78a,-0.571173551907826,0.517784689770832,-0.325126339707389,0.0148174928542593,0.0436876256202812,-0.0084857657163755,-0.649262908616016,0.573308196885308,-0.337368790590055,0.0148185774306382,0.0437154516858084,-0.00848596940680361,0.0965635402573412,0.851330657640521,2.34476766892399
0.47,9e81ce3e9621f78a,-0.569310784200872,0.515199391655437,-0.324949203124183,0.0144326297907218,0.0439377472706625,-0.00858567424789593,-0.64650252901614,0.569782315673353,-0.33717072887439,0.0144336320254413,0.0439660543822865,-0.00858588521812488,0.0968405468651505,0.836456575708306,2.36858932917818
0.475,9e81ce3e9621f78a,-0.566923958527789,0.512162022436051,-0.3245423392932,0.0140617587837491,0.0441729190661737,-0.00867835303039923,-0.642978193200156,0.565656185579184,-0.336715898730976,0.0140626857185878,0.0442016835049485,-0.00867857090685901,0.0971672397839762,0.819459455539107,2.39239908157945
