time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.66,f27c2278f5bdb77b,256.438892914284,303.288370847987,322.129076291168,343.143659946562,0.512877785828567,0.505480618079978,0.495583194294104,0.490205228495088,0.0226725573334789
10.665,f27c2278f5bdb77b,256.438895149594,303.288483536648,322.128952568048,343.14366874571,0.512877790299188,0.505480805894413,0.495583003950843,0.4902052410653,0.0226725492338886
10.67,f27c2278f5bdb77b,256.438897123726,303.288596874242,322.128828351509,343.143677650522,0.512877794247452,0.505480994790404,0.495582812848476,0.49020525378646,0.022672540460992
10.675,f27c2278f5bdb77b,256.438898835837,303.288710859785,322.12870364237,343.143686662008,0.512877797671673,0.505481184766309,0.495582620988261,0.490205266660012,0.0226725310116615
10.68,f27c2278f5bdb77b,256.438900285454,303.28882549248,322.128578441283,343.143695780782,0.512877800570909,0.5054813758208,0.495582428371205,0.490205279686832,0.0226725208840766
10.685,f27c2278f5bdb77b,256.438901472498,303.288940771726,322.128452748731,343.143705007046,0.512877802944996,0.505481567952876,0.495582234998047,0.490205292867208,0.0226725100777879
10.69,f27c2278f5bdb77b,256.438902397284,303.28905669712,322.128326565018,343.143714340577,0.512877804794569,0.505481761161867,0.495582040869258,0.490205306200825,0.0226724985937444
10.695,f27c2278f5bdb77b,256.438903060527,303.28917326846,322.128199890276,343.143723780737,0.512877806121054,0.505481955447433,0.49558184598504,0.490205319686768,0.0226724864342866
10.7,f27c2278f5bdb77b,256.438903463323,303.28929048573,322.128072724466,343.14373332648,0.512877806926647,0.50548215080955,0.495581650345333,0.490205333323543,0.0226724736031038
10.705,f27c2278f5bdb77b,256.438903607133,303.289408349097,322.127945067393,343.143742976377,0.512877807214266,0.505482347248495,0.495581453949836,0.49020534710911,0.022672460105156
10.71,f27c2278f5bdb77b,256.438903493747,303.289526858887,322.127816918715,343.14375272865,0.512877806987494,0.505482544764812,0.495581256798024,0.490205361040929,0.0226724459465649
10.715,f27c2278f5bdb77b,256.438903125248,303.28964601557,322.127688277966,343.143762581216,0.512877806250495,0.505482743359284,0.495581058889179,0.490205375116022,0.022672431134473
10.72,f27c2278f5bdb77b,256.438902503962,303.289765819732,322.127559144574,343.143772531732,0.512877805007923,0.505482943032886,0.495580860222422,0.490205389331046,0.0226724156768773
10.725,f27c2278f5bdb77b,256.438901632406,303.289886272045,322.127429517888,343.14378257766,0.512877803264813,0.505483143786742,0.495580660796751,0.490205403682372,0.0226723995824405
10.73,f27c2278f5bdb77b,256.43890051323,303.290007373245,322.127299397202,343.143792716323,0.51287780102646,0.505483345622075,0.49558046061108,0.490205418166176,0.0226723828602843
10.735,f27c2278f5bdb77b,256.438899149152,303.29012912409,322.127168781785,343.143802944973,0.512877798298303,0.50548354854015,0.495580259664285,0.490205432778533,0.02267236551977
10.74,f27c2278f5bdb77b,256.438897542894,303.290251525335,322.12703767091,343.143813260861,0.512877795085789,0.505483752542224,0.495580057955247,0.490205447515515,0.0226723475702735
10.745,f27c2278f5bdb77b,256.438895697123,303.290374577693,322.126906063882,343.143823661302,0.512877791394245,0.505483957629489,0.495579855482896,0.490205462373288,0.0226723290209574
10.75,f27c2278f5bdb77b,256.438893614378,303.290498281809,322.126773960067,343.143834143745,0.512877787228756,0.505484163803016,0.495579652246257,0.490205477348207,0.0226723098805486
