time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0.295,f27c2278f5bdb77b,-3.00982895643518e-10,2.84153080297271e-12,4.33981155048904e-12,7.01472749990175e-12,-2.10477363755132e-13,3.05667546395688e-13,-1.17122891246657e-13,2.55475978913622e-13,-3.81596178267163e-11,-4.57367477224579e-12,0.000909342136746316,6.35843542883029e-07
0.3,f27c2278f5bdb77b,-2.63923109481887e-10,1.05048711699848e-12,2.9883582045552e-12,4.91625642105864e-12,-1.04444964741551e-12,-4.18015773905045e-13,-5.54404612496118e-13,-5.39327046564231e-13,-2.18928510303112e-11,-4.32276436868051e-12,0.000731639462451694,5.4182936302721e-07
0.305,f27c2278f5bdb77b,-2.32278571756558e-10,-3.41825309377319e-12,-3.48874900323037e-13,-1.55901116669077e-13,-1.78011402259735e-12,-1.06733301667369e-12,-9.3451114901999e-13,-1.25021651017909e-12,-3.38623400153448e-12,-4.12225809043321e-12,0.00108088170233422,4.61715734519173e-07
0.31,f27c2278f5bdb77b,-2.02854211401628e-10,-7.88223512068059e-12,-3.68512663960485e-12,-5.21495119223253e-12,-2.39112795522348e-12,-1.61015086897268e-12,-1.25156742608601e-12,-1.84267119791859e-12,1.43458868916146e-11,-3.93218790861738e-12,0.0014401904241701,3.93447417807022e-07
0.315,f27c2278f5bdb77b,-1.75061263228693e-10,-1.18084392090878e-11,-6.64136324060594e-12,-9.70334045318627e-12,-2.7013924747848e-12,-1.88699522587349e-12,-1.41871703187441e-12,-2.14285035028683e-12,2.9647531825383e-11,-3.74367203903603e-12,0.00190123433562395,3.35273200725242e-07
0.32,f27c2278f5bdb77b,-1.48424847174096e-10,-1.49426288400048e-11,-8.95276810585627e-12,-1.32578425234703e-11,-2.44409727238838e-12,-1.66548345210613e-12,-1.28787887472559e-12,-1.89836536247656e-12,4.7234187915135e-11,-3.58091334362598e-12,0.00213673268959513,2.85700904993592e-07
0.325,f27c2278f5bdb77b,-1.22209372179286e-10,-1.66554476373898e-11,-1.01762973048203e-11,-1.52025939580136e-11,-1.99060886318329e-12,-1.26574017109485e-12,-1.0616085918333e-12,-1.460332505962e-12,6.41643283644244e-11,-3.41082717625341e-12,0.00296124134296583,2.43458410520946e-07
0.33,f27c2278f5bdb77b,-9.68327674988334e-11,-1.73642658411743e-11,-1.06157010265617e-11,-1.59819679192152e-11,-1.33124125601108e-12,-6.86533187070626e-13,-7.16578922935196e-13,-8.2796616784897e-13,8.16487034233093e-11,-3.23985283046113e-12,0.00453515322570808,2.0746199118891e-07
0.335,f27c2278f5bdb77b,-7.17613681151807e-11,-1.66728360718321e-11,-9.9874594271937e-12,-1.51475540010465e-11,-5.65314234226427e-13,-1.53150604177699e-14,-3.03504617271688e-13,-9.7048454342219e-14,9.90859109172015e-11,-3.05910852205216e-12,0.0065623062388922,1.76788058441155e-07
0.34,f27c2278f5bdb77b,-4.79868705535735e-11,-1.53539128026209e-11,-8.92076581875123e-12,-1.36324098710949e-11,1.28020098862092e-13,5.93489775553568e-13,7.34853801073743e-14,5.64331133906526e-13,1.13451235385365e-10,-2.86060064524918e-12,0.00890845407936114,1.50649494988801e-07
0.345,f27c2278f5bdb77b,-2.65222661541276e-11,-1.42544533034833e-11,-8.06687919588378e-12,-1.24207532280207e-11,7.14526609537844e-13,1.10925895205338e-12,3.94518077061201e-13,1.123155604979e-12,1.24026290106161e-10,-2.65210076122457e-12,0.011509948399103,1.28375674944342e-07
0.35,f27c2278f5bdb77b,-7.96564463695359e-12,-1.38946996269818e-11,-7.82570319310394e-12,-1.2119781307024e-11,1.03593332913612e-12,1.39707131497149e-12,5.59974159056176e-13,1.43344364156306e-12,1.30131775147313e-10,-2.43627340523744e-12,0.0142453487107057,1.09395010688094e-07
0.355,f27c2278f5bdb77b,5.55411250845184e-12,-1.6033071138094e-11,-9.53901757930198e-12,-1.475494964924e-11,9.21831756978478e-13,1.30424691229328e-12,4.79081076025512e-13,1.32966207488927e-12,1.30775044005632e-10,-2.22732943200299e-12,0.0168587806283904,9.32203863624262e-08
0.36,f27c2278f5bdb77b,1.85464840100208e-11,-1.72566759059495e-11,-1.05527945323119e-11,-1.63032079156245e-11,6.71072491196037e-13,1.08707265194727e-12,3.30841690848738e-13,1.09174149755253e-12,1.31915204888006e-10,-2.02438066310151e-12,0.0200230222787945,7.9437131554963e-08
0.365,f27c2278f5bdb77b,3.32807123873402e-11,-1.58359423664545e-11,-9.53912730056183e-12,-1.47659631917485e-11,6.19784009271013e-13,1.04046304449761e-12,3.04306710038893e-13,1.04032776317153e-12,1.35453613169662e-10,-1.82054371578033e-12,0.0242141455389659,6.7691968589495e-08
0.37,f27c2278f5bdb77b,4.831347908546e-11,-1.29504107090894e-11,-7.4085045823763e-12,-1.15275369545059e-11,7.635649924842e-13,1.1589244375363e-12,4.00651842431821e-13,1.16898580659192e-12,1.39608294542903e-10,-1.61759494687885e-12,0.0293883876134966,5.76835737011458e-08
0.375,f27c2278f5bdb77b,6.12970433959414e-11,-1.04948140022126e-11,-5.6198166779875e-12,-8.8047915312861e-12,9.52117833359634e-13,1.3126677750417e-12,5.2863616262222e-13,1.33575366479538e-12,1.42107698438559e-10,-1.424638185199e-12,0.0352094424760965,4.91550391583905e-08
0.38,f27c2278f5bdb77b,7.11768187791617e-11,-9.35902722508375e-12,-4.85914737266557e-12,-7.6354996544209e-12,9.87432954412809e-13,1.33510533900129e-12,5.61053807579537e-13,1.3593297494563e-12,1.41935941298799e-10,-1.24433796599988e-12,0.0413713157958766,4.18873825618494e-08
0.385,f27c2278f5bdb77b,7.67905574197703e-11,-1.05545025844145e-11,-5.88460226727539e-12,-9.17162656585702e-12,7.49135237350373e-13,1.12416957795576e-12,4.23188068789104e-13,1.12495765740989e-12,1.3920167319173e-10,-1.08713038571295e-12,0.0477013866944047,3.56940392669302e-08
